Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
i3.4xlarge.elasticsearch,45.1,148.6,2588.46,16,72
i3.8xlarge,90.1,297.1,2588.46,32,72
i3.8xlarge.elasticsearch,90.1,297.1,2588.46,32,72
i3.large,5.6,18.6,2588.46,2,72
i3.large.elasticsearch,5.6,18.6,2588.46,2,72
i3.metal,195.4,646.3,2588.46,72,72
i3.xlarge,11.3,37.1,2588.46,4,72
i3.xlarge.elasticsearch,11.3,37.1,2588.46,4,72
i3en.12xlarge,134.8,670.8,2943.79,48,96
i3en.24xlarge,269.5,1341.6,2943.79,96,96
i3en.2xlarge,22.5,111.8,2943.79,8,96
i3en.3xlarge,33.7,167.7,2943.79,12,96
i3en.6xlarge,67.4,335.4,2943.79,24,96
i3en.large,5.6,27.9,2943.79,2,96
i3en.metal,269.5,1341.6,2943.79,96,96
i3en.xlarge,11.2,55.9,2943.79,4,96
inf1.24xlarge,190.5,933.2,1344.29,96,96
inf1.2xlarge,15.9,77.8,1344.29,8,96
inf1.6xlarge,47.6,233.3,1344.29,24,96
inf1.xlarge,7.9,38.9,1344.29,4,96
m1.large,5.3,18.4,1644.35,2,32
m1.medium,2.7,9.2,1644.35,1,32
m1.small,2.2,8.0,1644.35,1,32
m1.xlarge,10.6,36.8,1644.35,4,32
m2.2xlarge,16.1,54.1,1666.44,4,32
m2.4xlarge,32.1,108.3,1666.44,8,32
m2.xlarge,8.0,27.1,1666.44,2,32
m3.2xlarge,24.4,85.2,1610.92,8,32
m3.2xlarge.elasticsearch,24.4,85.2,1610.92,8,32
m3.large,6.1,21.3,1610.92,2,32
m3.large.elasticsearch,6.1,21.3,1610.92,2,32
m3.medium,3.1,10.7,1610.92,1,32
m3.medium.elasticsearch,3.1,10.7,1610.92,1,32
m3.xlarge,12.2,42.6,1610.92,4,32
m3.xlarge.elasticsearch,12.2,42.6,1610.92,4,32
m4.10xlarge,96.1,329.9,1433.12,40,48
m4.10xlarge.elasticsearch,96.1,329.9,1433.12,40,48
m4.16xlarge,133.8,455.1,1433.12,64,72
m4.2xlarge,16.7,56.9,1433.12,8,72
m4.2xlarge.elasticsearch,16.7,56.9,1433.12,8,72
m4.4xlarge,33.5,113.8,1433.12,16,72
m4.4xlarge.elasticsearch,33.5,113.8,1433.12,16,72
m4.large,4.2,14.2,1433.12,2,72
m4.large.elasticsearch,4.2,14.2,1433.12,2,72
m4.xlarge,8.4,28.4,1433.12,4,72
m4.xlarge.elasticsearch,8.4,28.4,1433.12,4,72
m5.12xlarge,105.8,478.9,1610.79,48,96
m5.12xlarge.elasticsearch,99.2,392.2,1610.79,48,96
m5.16xlarge,141.1,638.5,1610.79,64,96
m5.24xlarge,211.7,957.8,1610.79,96,96
m5.2xlarge,17.6,79.8,1610.79,8,96
m5.2xlarge.elasticsearch,16.5,65.4,1610.79,8,96
m5.4xlarge,35.3,159.6,1610.79,16,96
m5.4xlarge.elasticsearch,33.1,130.7,1610.79,16,96
m5.8xlarge,70.6,319.3,1610.79,32,96
m5.large,4.4,20.0,1610.79,2,96
m5.large.elasticsearch,4.1,16.3,1610.79,2,96
m5.metal,211.7,957.8,1610.79,96,96
m5.xlarge,8.8,39.9,1610.79,4,96
m5.xlarge.elasticsearch,8.3,32.7,1610.79,4,96
m5a.12xlarge,101.6,358.9,1610.79,48,96
m5a.16xlarge,135.5,478.5,1610.79,64,96
m5a.24xlarge,203.3,717.8,1610.79,96,96
m5a.2xlarge,16.9,59.8,1610.79,8,96
m5a.4xlarge,33.9,119.6,1610.79,16,96
m5a.8xlarge,67.8,239.3,1610.79,32,96
m5a.large,4.2,15.0,1610.79,2,96
m5a.xlarge,8.5,29.9,1610.79,4,96
m5ad.12xlarge,101.6,358.9,2010.79,48,96
m5ad.16xlarge,135.5,478.5,2010.79,64,96
m5ad.24xlarge,203.3,717.8,2010.79,96,96
m5ad.2xlarge,16.9,59.8,2010.79,8,96
m5ad.4xlarge,33.9,119.6,2010.79,16,96
